component_id,name,component_type_id,component_mac475,mac475_weight,uniqueness,orientation,overall_length
C-0433,FITTING,OTHER,other,0.25,N,N,0
C-0434,FLANGE,CP-004,straight,0.191,N,Y,28
C-0435,TUBE AS-SUPPLY,OTHER,other,0.5,N,N,0
C-0436,TUBE AS-SUPPLY,OTHER,other,0.5,N,N,0
C-0437,TUBE AS-O SUPPL,OTHER,other,0.25,N,N,0
C-0438,NUT-F INJ LINE,OTHER,other,0.25,N,N,0
C-0439,ADAPTER-O LINE,OTHER,other,0.25,N,N,0
C-0440,ADAPTER,OTHER,other,1.134,N,N,0
C-0441,ADAPTER-O LINE,OTHER,other,0.25,N,N,0
C-0442,ADAPTER-O DRAIN,OTHER,other,0.395,N,N,0
C-0443,NUT-FLARED,CP-028,adaptor,0.032,N,N,22.35
C-0444,NUT-FLARED,CP-026,nut,0.111,N,N,28.7
C-0445,SLEEVE-ORFS,CP-024,sleeve,0.02,N,N,19.8
C-0446,ADAPTER-DRAIN,OTHER,other,0.408,N,N,0
C-0447,ADAPTER-SUPPLY,CP-010,elbow,0.232,Y,Y,53.34
C-0448,NUT-FLARED,CP-026,nut,0.032,N,N,21.6
C-0449,SLEEVE-FLARED,CP-024,sleeve,0.006,N,N,14.2
C-0450,FLANGE-ONE PIEC,CP-002,straight,0.496,N,Y,28
C-0451,FLANGE-ONE PIEC,CP-002,straight,0.693,N,Y,28
C-0452,FLANGE-ONE PIEC,CP-002,straight,0.94,N,Y,28
C-0453,FLANGE-ONE PIEC,CP-002,straight,1.094,N,Y,28
C-0454,FLANGE-CAPTIVE,CP-022,float,0.59,N,N,0
C-0455,FLANGE-CAPTIVE,CP-022,float,0.525,N,N,0
C-0456,HEAD-FLANGED,CP-007,straight,0.175,N,N,28
C-0457,HEAD-FLANGED,CP-007,straight,0.14,N,N,28
C-0458,HEAD-FLANGE,CP-007,straight,0.158,N,N,28
C-0459,HEAD-FLANGED,CP-007,straight,0.175,N,N,28
C-0460,HEAD-FLANGED,CP-007,straight,0.21,N,N,28
C-0461,HEAD-FLANGED,CP-007,straight,0.403,N,N,28
C-0462,HEAD-FLANGED,CP-007,straight,0.28,N,N,28
C-0463,HEAD-FLANGED,CP-007,straight,0.613,N,N,28
C-0464,ELBOW-HYDRAULIC,CP-011,elbow,2.041,N,Y,93
C-0465,FLANGE-ONE PIEC,CP-002,straight,1.347,N,Y,28
C-0466,FLANGE-ONE PIEC,CP-002,straight,0.482,N,Y,28
C-0467,CLAMP,OTHER,other,0.01,N,N,0
C-0468,FLANGE,CP-004,straight,0.09,N,Y,28
C-0469,COLLAR-O-RING,OTHER,other,0.068,N,N,0
C-0470,BLOCK,OTHER,other,3.859,N,N,0
C-0471,FLANGE,CP-004,straight,0.561,N,Y,28
C-0472,BLOCK,OTHER,other,7.5,N,N,0
C-0473,PLATE,OTHER,other,0.084,N,N,0
C-0474,BOSS,CP-018,boss,0.054,N,Y,0
C-0475,BOSS,CP-018,boss,0.05,Y,Y,0
C-0476,ADAPTER,OTHER,other,0.599,N,N,0
C-0477,HASP-OIL FILLER,OTHER,other,0.045,N,N,0
C-0478,NUT-INJ F V,OTHER,other,0.05,N,N,0
C-0479,FLANGE,CP-004,straight,0.06,N,Y,28
C-0480,FLANGE-O SUPPLY,CP-004,straight,0.561,N,Y,28
C-0481,ADAPTER-O DRAIN,OTHER,other,0.25,N,N,0
C-0482,TUBE AS,OTHER,other,0.25,N,N,0
C-0483,BOSS,CP-018,boss,0.08,N,Y,0
C-0484,TUBE-TURBO OIL,OTHER,other,0.502,N,N,0
C-0485,HEAD-FLANGED,CP-006,straight,0.32,N,N,28
C-0486,COUPLET,CP-018,boss,0.114,Y,Y,0
C-0487,TEE-BRAZE,CP-016,threaded,0.669,N,Y,38.5
C-0488,TEE-BRAZE,CP-016,threaded,0.702,N,Y,38.5
C-0489,PLATE,OTHER,other,0.91,N,N,0
C-0490,RING-RETAINING,OTHER,other,0.026,N,N,0
C-0491,ADAPTER,OTHER,other,0.127,N,N,0
C-0492,HEAD-O-RING,CP-006,straight,0.154,N,N,28
C-0493,BOSS,CP-018,boss,0.015,N,Y,0
C-0494,FLANGE,CP-022,float,0.23,N,N,0
C-0495,SADDLE,CP-018,boss,0.083,N,Y,0
C-0496,FLANGE,CP-022,float,0.284,N,N,0
C-0497,BOSS,CP-018,boss,0.052,Y,Y,0
C-0498,HEAD,CP-006,straight,0.172,N,N,28
C-0499,SADDLE,CP-018,boss,0.082,N,Y,0
C-0500,FLANGE,CP-006,straight,0.207,N,N,28
C-0501,ELBOW,CP-008,elbow,3.655,N,Y,96.75
C-0502,CONNECTOR,CP-018,boss,0.269,N,Y,0
C-0503,CONNECTOR,CP-014,threaded,0.525,N,N,48.26
C-0504,BOSS,OTHER,other,0.112,N,N,0
C-0505,ADAPTER,OTHER,other,0.539,N,N,0
C-0506,BOSS,CP-018,boss,0.093,Y,Y,0
C-0507,SCREEN AS.,OTHER,other,0.25,N,N,0
C-0508,FLANGE,CP-021,float,1.144,N,Y,0
C-0509,FLANGE,CP-004,straight,0.345,N,Y,28
C-0510,FLANGE,CP-004,straight,0.3,Y,Y,28
C-0511,ADAPTER,OTHER,other,0.225,N,N,0
C-0512,ANGLE AS,OTHER,other,0.18,N,N,0
C-0513,BLOCK,CP-019,boss,2.14,N,Y,0
C-0514,PLATE AS.,OTHER,other,0.25,N,N,0
C-0515,PLATE,OTHER,other,0.019,N,N,0
C-0516,ELBOW,CP-009,elbow,1.015,N,Y,68
C-0517,ADAPTER,OTHER,other,0.031,N,N,0
C-0518,CONNECTOR,CP-014,threaded,0.04,N,N,23.1
C-0519,PLATE,OTHER,other,0.077,N,N,0
C-0520,BOSS,CP-018,boss,0.021,Y,Y,0
C-0521,ELBOW,CP-015,threaded,0.663,N,Y,38.5
C-0522,HOUSING-BELL,OTHER,other,0.022,N,N,0
C-0523,TUBE AS.,OTHER,other,0.25,N,N,0
C-0524,FLANGE-ONE PIECE,OTHER,other,0.36,N,N,0
C-0525,FLANGE,OTHER,other,2,N,N,0
C-0526,ELBOW,CP-010,elbow,0.544,N,Y,54.1
C-0527,TUBE,OTHER,other,1.903,N,N,0
C-0528,RETAINER,OTHER,other,0.03,N,N,0
C-0529,ADAPTER-EXH PIP,OTHER,other,0.19,N,N,0
C-0530,PLATE,OTHER,other,0.04,N,N,0
C-0531,BLOCK,OTHER,other,0.096,N,N,0
C-0532,FLANGE,CP-006,straight,0.229,N,N,28
C-0533,COUPLING,CP-018,boss,0.026,Y,Y,0
C-0534,BOSS,CP-018,boss,0.217,Y,Y,0
C-0535,TUBE,OTHER,other,0.181,N,N,0
C-0536,SCREEN,OTHER,other,0.16,N,N,0
C-0537,FLANGE,CP-010,elbow,0.42,Y,Y,64
C-0538,FLANGE,CP-004,straight,0.91,Y,Y,28
C-0539,BOSS,CP-018,boss,0.003,Y,Y,0
C-0540,FLANGE-LOWER,OTHER,other,0.251,N,N,0
C-0541,FLANGE,OTHER,other,0.512,N,N,0
C-0542,PLATE,OTHER,other,0.756,N,N,0
C-0543,FLANGE,CP-006,straight,0.224,N,N,28
C-0544,CONNECTOR,CP-018,boss,0.129,N,Y,0
C-0545,COUPLING AS,CP-014,threaded,0.057,N,N,24.5
C-0546,FLANGE,CP-001,straight,1.201,Y,Y,28
C-0547,CONNECTOR-WELD,CP-018,boss,0.012,N,Y,0
C-0548,CONNECTOR-WELD,CP-018,boss,0.059,N,Y,0
C-0549,CONNECTOR-WELD,CP-018,boss,0.059,N,Y,0
C-0550,CONNECTOR-SEAL,CP-014,threaded,0.404,N,N,38.6
C-0551,FLANGE-BRAZE,CP-003,straight,0.442,N,Y,28
C-0552,FLANGE,OTHER,other,0.177,N,N,0
C-0553,BLOCK,OTHER,other,5.724,N,N,0
C-0554,FLANGE,CP-003,straight,2.377,N,Y,28
C-0555,FLANGE,CP-019,boss,1.612,N,Y,0
C-0556,CONNECTOR,CP-018,boss,0.059,N,Y,0
C-0557,PLATE,OTHER,other,1.178,N,N,0
C-0558,COVER,OTHER,other,0.171,N,N,0
C-0559,BRACKET,OTHER,other,0.034,N,N,0
C-0560,TUBE,OTHER,other,0.082,N,N,0
C-0561,FLANGE,OTHER,other,1.044,N,N,0
C-0562,FLANGE,OTHER,other,0.173,N,N,0
C-0563,PLATE,OTHER,other,0.406,N,N,0
C-0564,TUBE,OTHER,other,4.312,N,N,0
C-0565,ELBOW-WELD,CP-009,elbow,1.05,N,Y,63
C-0566,ELBOW-HYDRAULIC,CP-011,elbow,1.4,N,Y,85.5
C-0567,ELBOW-HYDRAULIC,CP-011,elbow,1.52,N,Y,100
C-0568,FLANGE-ONE PIECE,CP-002,straight,1.469,N,Y,28
C-0569,BOSS,CP-018,boss,0.037,N,Y,0
C-0570,RING,OTHER,other,0.008,N,N,0
C-0571,PIPE,OTHER,other,0.896,N,N,0
C-0572,FLANGE-LOOSE,CP-022,float,0.447,N,N,0
C-0573,HEAD-FLAT FACE,CP-006,straight,0.192,N,N,28
C-0574,BLOCK,OTHER,other,0.423,N,N,0
C-0575,BOSS,CP-018,boss,0.075,Y,Y,0
C-0576,CLEAT,OTHER,other,0.019,N,N,0
C-0577,NUT-ORFS,OTHER,other,0.157,N,N,0
C-0578,NUT-ORFS,OTHER,other,0.025,N,N,0
C-0579,NUT-ORFS,CP-025,nut,0.157,N,N,20
C-0580,NUT-ORFS,CP-025,nut,0.109,N,N,26.5
C-0581,NUT-ORFS,OTHER,other,0.123,N,N,0
C-0582,NUT-ORFS,OTHER,other,0.196,N,N,0
C-0583,SLEEVE-REDUCING,OTHER,other,0.101,N,N,0
C-0584,ELBOW-WELD,CP-015,threaded,0.712,N,Y,38.5
C-0585,ELBOW,CP-008,elbow,0.551,N,Y,64.3
C-0586,TUBE AS,OTHER,other,0.614,N,N,0
C-0587,TUBE AS.,OTHER,other,3.207,N,N,0
C-0588,PLATE,OTHER,other,0.62,N,N,0
C-0589,CONNECTOR,OTHER,other,0.157,N,N,0
C-0590,FLANGE-CAPTIVE,OTHER,other,0.279,N,N,0
C-0591,HEAD-FLANGED,CP-006,straight,0.161,Y,N,28
C-0592,TUBE,OTHER,other,1.218,N,N,0
C-0593,FLANGE,OTHER,other,0.372,N,N,0
C-0594,FLANGE,OTHER,other,0.458,N,N,0
C-0595,TUBE,OTHER,other,0.93,N,N,0
C-0596,CONNECTOR,CP-014,threaded,0.055,Y,N,43.7
C-0597,FLANGE,OTHER,other,0.206,N,N,0
C-0598,ELBOW,CP-010,elbow,0.687,N,Y,92
C-0599,FLANGE-ONE PIEC,CP-003,straight,0.447,N,Y,28
C-0600,TEE-BULKHEAD,CP-016,threaded,0.529,Y,Y,38.5
C-0601,FLANGE,CP-003,straight,0.424,N,Y,28
C-0602,FLANGE-ONE PIEC,CP-002,straight,0.752,N,Y,28
C-0603,HEAD-FLANGED,OTHER,other,0.33,N,N,0
C-0604,BRACKET,OTHER,other,0.204,N,N,0
C-0605,TEE-ORFS,CP-017,threaded,0.358,Y,Y,38.5
C-0606,PLATE,CP-004,straight,0.129,N,Y,28
C-0607,TEE,CP-016,threaded,0.5,N,Y,38.5
C-0608,ELBOW-HYDRAULIC,CP-008,elbow,2.22,N,Y,86
C-0609,FLANGE,OTHER,other,0.101,N,N,0
C-0610,TUBE,OTHER,other,0.516,N,N,0
C-0611,TUBE,OTHER,other,0.851,N,N,0
C-0612,BLOCK,CP-003,straight,4.076,Y,Y,28
C-0613,ELBOW-HYDRAULIC,OTHER,other,2.46,N,N,0
C-0614,HEAD-FLANGED,OTHER,other,0.599,N,N,0
C-0615,ELBOW,CP-008,elbow,0.712,N,Y,71.1
C-0616,ELBOW,CP-008,elbow,0.699,N,Y,72.1
C-0617,FLANGE,OTHER,other,0.17,N,N,0
C-0618,FLANGE,CP-003,straight,0.955,N,Y,28
C-0619,FLANGE,CP-002,straight,1.455,N,Y,28
C-0620,BOSS,OTHER,other,0.023,N,N,0
C-0621,HEAD-FLANGE,CP-007,straight,0.56,N,N,36.5
C-0622,HEAD-FLANGED,CP-006,straight,0.435,N,N,19.5
C-0623,ADAPTER-WELD,CP-018,boss,0.021,N,Y,0
C-0624,CONNECTOR-ORFS,CP-018,boss,0.06,N,Y,0
C-0625,MANIFOLD,CP-008,elbow,1.845,N,Y,75
C-0626,FLANGE,OTHER,other,0.15,N,N,0
C-0627,ADAPTER,OTHER,other,0.294,N,N,0
C-0628,HEAD O-RING,CP-006,straight,0.5,N,N,12.7
C-0629,TUBE,OTHER,other,0.21,N,N,0
C-0630,TUBE,OTHER,other,0.177,N,N,0
C-0631,BLOCK,OTHER,other,2.481,N,N,0
C-0632,FLANGE,CP-003,straight,1.368,N,Y,28
C-0633,PLATE,OTHER,other,0.107,N,N,0
C-0634,TUBE,OTHER,other,0.236,N,N,0
C-0635,TUBE,OTHER,other,9.57,N,N,0
C-0636,ADAPTER,OTHER,other,0.094,N,N,0
C-0637,FLANGE,OTHER,other,3.225,N,N,0
C-0638,CONNECTOR,CP-014,threaded,0.401,Y,N,75.5
C-0639,FLANGE,OTHER,other,0.927,N,N,0
C-0640,FLANGE,OTHER,other,0.123,N,N,0
C-0641,FLANGE,CP-019,boss,0.304,N,Y,0
C-0642,FLANGE,OTHER,other,0.846,N,N,0
C-0643,FLANGE,CP-019,boss,3.361,N,Y,0
C-0644,RING,OTHER,other,0.117,N,N,0
C-0645,ADAPTER,OTHER,other,0.226,N,N,0
C-0646,ELBOW-HYDRAULIC,CP-008,elbow,10.19,Y,Y,111
C-0647,TUBE AS-DRAIN,OTHER,other,0.922,N,N,0
C-0648,FLANGE,OTHER,other,0.552,N,N,0
C-0649,FLANGE,OTHER,other,1.349,N,N,0
C-0650,FLANGE,OTHER,other,0.413,N,N,0
C-0651,FITTING,CP-014,threaded,0.968,N,N,72.4
C-0652,FLANGE-WELD,CP-003,straight,0.955,N,Y,28
C-0653,HEAD-O-RING,CP-006,straight,0.061,N,N,12.7
C-0654,ELBOW,OTHER,other,0.663,N,N,0
C-0655,FLANGE,OTHER,other,0.162,N,N,0
C-0656,FLANGE,OTHER,other,0.068,N,N,0
C-0657,PLATE,OTHER,other,0.182,N,N,0
C-0658,PLATE,OTHER,other,0.17,N,N,0
C-0659,PLATE,OTHER,other,0.441,N,N,0
C-0660,TUBE,OTHER,other,0.567,N,N,0
C-0661,STRAP,OTHER,other,0.024,N,N,0
C-0662,PLATE,OTHER,other,0.102,N,N,0
C-0663,TUBE,OTHER,other,3.771,N,N,0
C-0664,TUBE,OTHER,other,0.619,N,N,0
C-0665,TUBE,OTHER,other,1.225,N,N,0
C-0666,TUBE,OTHER,other,2.716,N,N,0
C-0667,CONNECTOR-WELD,OTHER,other,0.25,N,N,0
C-0668,PLATE,OTHER,other,1.028,N,N,0
C-0669,PLATE,OTHER,other,0.369,N,N,0
C-0670,TUBE,OTHER,other,0.208,N,N,0
C-0671,TUBE,OTHER,other,0.194,N,N,0
C-0672,ADAPTER,OTHER,other,0.277,N,N,0
C-0673,ADAPTER,OTHER,other,0.844,N,N,0
C-0674,FLANGE,OTHER,other,0.324,N,N,0
C-0675,FLANGE,OTHER,other,0.323,N,N,0
C-0676,FLANGE,OTHER,other,0.56,N,N,0
C-0677,FLANGE,OTHER,other,0.156,N,N,0
C-0678,BOSS,CP-018,boss,0.112,Y,Y,0
C-0679,FLANGE-4 BOLT,CP-003,straight,0.474,N,Y,28
C-0680,ELBOW,OTHER,other,1.265,N,N,0
C-0681,FLANGE,OTHER,other,0.096,N,N,0
C-0682,ELBOW,OTHER,other,1.258,N,N,0
C-0683,CONNECTOR-ORFS,CP-014,threaded,0.134,N,N,29.7
C-0684,BUSHING,OTHER,other,0.009,N,N,0
C-0685,CAP AS,OTHER,other,0.167,N,N,0
C-0686,TUBE AS.,OTHER,other,0.119,N,N,0
C-0687,BLOCK,OTHER,other,6.804,N,N,0
C-0688,ELBOW,CP-009,elbow,2.651,N,Y,78.5
C-0689,FLANGE-ONE PIEC,OTHER,other,2.053,N,N,0
C-0690,TUBE,OTHER,other,0.692,N,N,0
C-0691,TUBE,OTHER,other,0.273,N,N,0
C-0692,TUBE,OTHER,other,0.109,N,N,0
C-0693,TUBE,OTHER,other,0.189,N,N,0
C-0694,TUBE,OTHER,other,0.799,N,N,0
C-0695,BLOCK,OTHER,other,2.977,N,N,0
C-0696,"COUPLING (1""BSP)",OTHER,other,0.176,N,N,0
C-0697,CONNECTOR-BRAZE,CP-018,boss,0.014,N,Y,0
C-0698,FLANGE-ONE PIEC,CP-004,straight,0.229,N,Y,28
C-0699,BOSS,CP-018,boss,0.044,N,Y,0
C-0700,ADAPTER,CP-018,boss,0.265,N,Y,0
C-0701,ADAPTER,CP-018,boss,0.194,N,Y,0
C-0702,CONNECTOR-BULKH,CP-014,threaded,0.497,N,N,63.3
C-0703,HEAD-FLANGED,CP-006,straight,0.15,N,N,28
C-0704,TUBE,OTHER,other,0.28,N,N,0
C-0705,TUBE,OTHER,other,0.2,N,N,0
C-0706,FLANGE,OTHER,other,1.403,N,N,0
C-0707,FLANGE,OTHER,other,5.542,N,N,0
C-0708,FLANGE,OTHER,other,0.815,N,N,0
C-0709,HEAD-O-RING SEAL,CP-006,straight,0.085,N,N,28
C-0710,FLANGE,OTHER,other,1.303,N,N,0
C-0711,PLATE,OTHER,other,0.493,N,N,0
C-0712,PLATE,OTHER,other,0.184,N,N,0
C-0713,ORIFICE,OTHER,other,0.222,N,N,0
C-0714,TUBE,OTHER,other,0.915,N,N,0
C-0715,ADAPTER - GAGE,OTHER,other,0.131,N,N,0
C-0716,ADAPTER RING,OTHER,other,2.259,N,N,0
C-0717,FLANGE,OTHER,other,0.34,N,N,0
C-0718,CONNECTOR-WELD,OTHER,other,0.021,N,N,0
C-0719,FLANGE AS.,OTHER,other,0.125,N,N,0
C-0720,BOSS,CP-027,nut,0.222,N,N,90
C-0721,TUBE,OTHER,other,2.719,N,N,0
C-0722,PLATE,CP-003,straight,0.72,N,Y,28
C-0723,BOSS,CP-018,boss,0.076,Y,Y,0
C-0724,TUBE-BULK,OTHER,other,0.32,N,N,0
C-0725,BAR,OTHER,other,0.013,N,N,0
C-0726,TUBE,OTHER,other,1.327,N,N,0
C-0727,FLANGE,OTHER,other,2.839,N,N,0
C-0728,ELBOW,OTHER,other,1.009,N,N,0
C-0729,ELBOW,OTHER,other,0.631,N,N,0
C-0730,TUBE,OTHER,other,0.363,N,N,0
C-0731,BLOCK,OTHER,other,1.722,N,N,0
C-0732,FLANGE,CP-004,straight,0.256,N,Y,28
C-0733,ELBOW-HYDRAULIC,OTHER,other,0.25,N,N,0
C-0734,FLANGE,CP-003,straight,1.26,N,Y,28
C-0735,CAP,OTHER,other,0.004,N,N,0
C-0736,PLATE,OTHER,other,1.519,N,N,0
C-0737,FLANGE,CP-003,straight,3,N,Y,28
C-0738,BRACKET,OTHER,other,0.442,N,N,0
C-0739,FLANGE,CP-004,straight,0.258,Y,Y,28
C-0740,CONNECTOR,CP-014,threaded,0.123,Y,N,65.1
C-0741,HEAD-FLANGED,CP-006,straight,0.14,N,N,28
C-0742,ORIFICE,OTHER,other,0.243,N,N,0
C-0743,ORIFICE,OTHER,other,0.063,N,N,0
C-0744,ORIFICE,OTHER,other,0.195,N,N,0
C-0745,ORIFICE,OTHER,other,0.254,N,N,0
C-0746,BRACKET,OTHER,other,0.24,N,N,0
C-0747,HEAD-FLANGE,CP-006,straight,0.224,N,N,28
C-0748,HEAD-FLANGE,CP-006,straight,0.187,N,N,28
C-0749,NUT-ORFS,OTHER,other,0.106,N,N,0
C-0750,FLANGE,CP-004,straight,0.191,N,Y,28
C-0751,FLANGE,OTHER,other,0.68,N,N,0
C-0752,FLANGE,OTHER,other,0.941,N,N,0
C-0753,TUBE,OTHER,other,0.282,N,N,0
C-0754,BOSS,OTHER,other,0.417,N,N,0
C-0755,BOSS,CP-018,boss,2.62,Y,Y,0
C-0756,TUBE,OTHER,other,0.689,N,N,0
C-0757,ELBOW,OTHER,other,0.25,N,N,0
C-0758,TUBE-BAFFLE,OTHER,other,2.011,N,N,0
C-0759,ADAPTER,OTHER,other,0.022,N,N,0
C-0760,SLEEVE-ORFS,OTHER,other,0.009,N,N,0
C-0761,FLANGE,CP-003,straight,1.372,N,Y,28
C-0762,FLANGE,OTHER,other,0.453,N,N,0
C-0763,BLOCK,OTHER,other,6.679,N,N,0
C-0764,COVER,OTHER,other,1.42,N,N,0
C-0765,ADAPTER,OTHER,other,0.323,N,N,0
C-0766,TUBE,OTHER,other,0.432,N,N,0
C-0767,CONNECTOR,OTHER,other,0.224,N,N,0
C-0768,TEE,CP-016,threaded,0.539,N,Y,38.5
C-0769,ELBOW-90°,CP-015,threaded,0.138,N,Y,38.5
C-0770,BLOCK,CP-020,boss,0.987,N,Y,0
C-0771,FLANGE,OTHER,other,1.086,N,N,0
C-0772,FLANGE,OTHER,other,1.938,N,N,0
C-0773,BLOCK,OTHER,other,2.316,N,N,0
C-0774,ADAPTER,OTHER,other,0.062,N,N,0
C-0775,CONNECTOR,CP-014,threaded,0.111,N,N,65.1
C-0776,PLATE,OTHER,other,0.178,N,N,0
C-0777,FLANGE,OTHER,other,0.685,N,N,0
C-0778,FLANGE,CP-004,straight,0.265,N,Y,28
C-0779,FLANGE,OTHER,other,0.37,N,N,0
C-0780,BLOCK,CP-020,boss,0.577,N,Y,0
C-0781,FLANGE,OTHER,other,2.254,N,N,0
C-0782,FLANGE,CP-001,straight,0.788,N,Y,28
C-0783,FLANGE,OTHER,other,1.303,N,N,0
C-0784,ADAPTER,OTHER,other,0.1,N,N,0
C-0785,PLATE,OTHER,other,0.277,N,N,0
C-0786,TUBE,OTHER,other,7.352,N,N,0
C-0787,FLANGE,CP-004,straight,0.07,N,Y,28
C-0788,TUBE AS,OTHER,other,4.134,N,N,0
C-0789,ELBOW,CP-010,elbow,2.319,Y,Y,149.4
C-0790,FLANGE,OTHER,other,0.68,N,N,0
C-0791,CONNECTOR-WELD,CP-018,boss,0.034,N,Y,0
C-0792,FLANGE,CP-003,straight,2.52,N,Y,28
C-0793,FLANGE,CP-019,boss,3.815,N,Y,0
C-0794,ELBOW-HYDRAULIC,OTHER,other,12.03,N,N,0
C-0795,FLANGE,OTHER,other,0.68,N,N,0
C-0796,BLOCK,CP-020,boss,0.987,N,Y,0
C-0797,FLANGE,CP-021,float,1.983,N,Y,0
C-0798,TUBE,OTHER,other,0.198,N,N,0
C-0799,FLANGE,CP-003,straight,1.343,N,Y,28
C-0800,ADAPTER-OIL (GA,OTHER,other,0.024,N,N,0
C-0801,ELBOW-AIR (CRS),OTHER,other,0.122,N,N,0
C-0802,ELBOW,CP-008,elbow,1.418,N,Y,111.9
C-0803,ADAPTER,OTHER,other,0.463,N,N,0
C-0804,FLANGE,CP-019,boss,2.805,N,Y,0
C-0805,TEE-BULKHEAD,CP-016,threaded,1.125,N,Y,38.5
C-0806,TEE,CP-016,threaded,1.007,N,Y,38.5
C-0807,TEE,CP-016,threaded,0.646,N,Y,38.5
C-0808,FLANGE-ONE PIEC,CP-002,straight,1.545,N,Y,28
C-0809,CLEAT,OTHER,other,0.062,N,N,0
C-0810,BLOCK,OTHER,other,2.532,N,N,0
C-0811,BRACKET AS.,OTHER,other,0.25,N,N,0
C-0812,PLATE,OTHER,other,0.85,N,N,0
C-0813,WASHER,OTHER,other,0.001,N,N,0
C-0814,CLAMP-INJ LINE,OTHER,other,0.25,N,N,0
C-0815,CLAMP-INJ LINE,OTHER,other,0.25,N,N,0
C-0816,BOSS,CP-018,boss,0.071,Y,Y,0
C-0817,BOSS,CP-018,boss,0.069,N,Y,0
C-0818,SPACER,OTHER,other,0.081,N,N,0
C-0819,FLANGE,CP-004,straight,0.272,N,Y,28
C-0820,ELBOW,CP-008,elbow,1.95,N,Y,98.55
C-0821,ELBOW,CP-008,elbow,1.982,N,Y,92.4
C-0822,ELBOW,CP-008,elbow,0.7,N,Y,64.3
C-0823,NUT-INV FLARED,CP-028,adaptor,0.014,N,N,16.8
C-0824,CAP-A/C,OTHER,other,0.045,N,N,0
C-0825,ADAPTER,OTHER,other,0.151,N,N,0
C-0826,ELBOW-FLARED,CP-015,threaded,0.182,Y,Y,38.5
C-0827,BOSS,CP-027,nut,0.03,N,N,1
C-0828,HASP-OIL FILLER,OTHER,other,0.036,N,N,0
C-0829,HEAD-FLANGED,CP-007,straight,0.32,N,N,28
C-0830,SLEEVE-FITTING,CP-024,sleeve,0.027,N,N,23.1
C-0831,NUT,CP-026,nut,0.255,N,N,31.2
C-0832,CONNECTOR-FLARED,CP-014,threaded,0.681,N,N,24.4
C-0833,CONNECTOR-FLARE,CP-014,threaded,0.136,N,N,41.1
C-0834,FLANGE,OTHER,other,0.25,N,N,0
C-0835,TUBE,OTHER,other,0.226,N,N,0
C-0836,FLANGE,CP-004,straight,0.561,N,Y,28
C-0837,BOSS,CP-018,boss,0.059,N,Y,0
C-0838,PLATE BLANK,OTHER,other,0.04,N,N,0
C-0839,ELBOW,CP-008,elbow,1.648,N,Y,62
C-0840,FLANGE,CP-003,straight,2.447,N,Y,28
C-0841,TUBE AS,OTHER,other,0.725,N,N,0
C-0842,TUBE AS,OTHER,other,0.25,N,N,0
C-0843,ORIFICE,OTHER,other,0.11,N,N,0
C-0844,PLATE,OTHER,other,0.145,N,N,0
C-0845,TUBE,OTHER,other,4.812,N,N,0
C-0846,FLANGE,CP-004,straight,0.4,N,Y,28
C-0847,TUBE AS,OTHER,other,0.25,N,N,0
C-0848,FLANGE,OTHER,other,1.361,N,N,0
C-0849,CAP AS-O FILLER,OTHER,other,0.237,N,N,0
C-0850,FLANGE,CP-004,straight,0.7,N,Y,28
C-0851,ELBOW,OTHER,other,1.8,N,N,0
C-0852,FLANGE,OTHER,other,0.047,N,N,0
C-0853,GUSSET,OTHER,other,0.509,N,N,0
C-0854,BOSS,CP-018,boss,0.041,N,Y,0
C-0855,SLEEVE-CRIMP,OTHER,other,0.002,N,N,0
C-0856,PLATE,OTHER,other,0.068,N,N,0
C-0857,ROD,OTHER,other,0.396,N,N,0
C-0858,TUBE,OTHER,other,0.983,N,N,0
C-0859,FLANGE,OTHER,other,1.782,N,N,0
C-0860,NIPPLE AS.-90,OTHER,other,0.018,N,N,0
C-0861,NOZZLE,OTHER,other,0.005,N,N,0
C-0862,ORIFICE,OTHER,other,0.278,N,N,0
C-0863,FLANGE,OTHER,other,2.178,N,N,0
C-0864,NIPPLE AS.-45,OTHER,other,0.018,N,N,0
C-0865,NIPPLE AS.-90,OTHER,other,0.019,N,N,0
C-0866,NIPPLE AS.-90,OTHER,other,0.019,N,N,0
C-0867,NIPPLE AS.-45,OTHER,other,0.025,N,N,0
C-0868,NIPPLE AS.-45,OTHER,other,0.022,N,N,0
C-0869,FLANGE,CP-019,boss,1.112,N,Y,0
C-0870,TUBE,OTHER,other,1.232,N,N,0
C-0871,ADAPTER,OTHER,other,0.566,N,N,0
C-0872,NIPPLE-BRAZE,CP-023,hfl,0.01,N,N,0
C-0873,NIPPLE-BRAZE,CP-023,hfl,0.01,N,N,0
C-0874,NIPPLE-BRAZE,CP-023,hfl,0.001,N,N,0
C-0875,FLANGE,CP-004,straight,0.765,N,Y,28
C-0876,FLANGE,OTHER,other,7.92,N,N,0
C-0877,NUT-SWIVEL,OTHER,other,0.01,N,N,0
C-0878,NIPPLE AS.-77,OTHER,other,0.025,N,N,0
C-0879,BRACKET,OTHER,other,0.117,N,N,0
C-0880,FLANGE,CP-002,straight,4.378,N,Y,28
C-0881,FLANGE,CP-002,straight,3.713,N,Y,28
C-0882,ELBOW-SWIVEL,CP-015,threaded,1.05,N,Y,38.5
C-0883,PLATE AS.,OTHER,other,0.08,N,N,0
C-0884,SOCKET,OTHER,other,0.033,N,N,0
