component_id,name,component_type_id,component_mac475
C-0664,TUBE,OTHER,other
C-0665,TUBE,OTHER,other
C-0666,TUBE,OTHER,other
C-0667,CONNECTOR-WELD,OTHER,other
C-0668,PLATE,OTHER,other
C-0669,PLATE,OTHER,other
C-0670,TUBE,OTHER,other
C-0671,TUBE,OTHER,other
C-0672,ADAPTER,OTHER,other
C-0673,ADAPTER,OTHER,other
C-0674,FLANGE,OTHER,other
C-0675,FLANGE,OTHER,other
C-0676,FLANGE,OTHER,other
C-0677,FLANGE,OTHER,other
C-0678,BOSS,CP-018,boss
C-0679,FLANGE-4 BOLT,CP-003,straight
C-0680,ELBOW,OTHER,other
C-0681,FLANGE,OTHER,other
C-0682,ELBOW,OTHER,other
C-0683,CONNECTOR-ORFS,CP-014,threaded
C-0684,BUSHING,OTHER,other
C-0685,CAP AS,OTHER,other
C-0686,TUBE AS.,OTHER,other
C-0687,BLOCK,OTHER,other
C-0688,ELBOW,CP-009,elbow
C-0689,FLANGE-ONE PIEC,OTHER,other
C-0690,TUBE,OTHER,other
C-0691,TUBE,OTHER,other
C-0692,TUBE,OTHER,other
C-0693,TUBE,OTHER,other
C-0694,TUBE,OTHER,other
C-0695,BLOCK,OTHER,other
C-0696,"COUPLING (1""BSP)",OTHER,other
C-0697,CONNECTOR-BRAZE,CP-018,boss
C-0698,FLANGE-ONE PIEC,CP-004,straight
C-0699,BOSS,CP-018,boss
C-0700,ADAPTER,CP-018,boss
C-0701,ADAPTER,CP-018,boss
C-0702,CONNECTOR-BULKH,CP-014,threaded
C-0703,HEAD-FLANGED,CP-006,straight
C-0704,TUBE,OTHER,other
C-0705,TUBE,OTHER,other
C-0706,FLANGE,OTHER,other
C-0707,FLANGE,OTHER,other
C-0708,FLANGE,OTHER,other
C-0709,HEAD-O-RING SEAL,CP-006,straight
C-0710,FLANGE,OTHER,other
C-0711,PLATE,OTHER,other
C-0712,PLATE,OTHER,other
C-0713,ORIFICE,OTHER,other
C-0714,TUBE,OTHER,other
C-0715,ADAPTER - GAGE,OTHER,other
C-0716,ADAPTER RING,OTHER,other
C-0717,FLANGE,OTHER,other
C-0718,CONNECTOR-WELD,OTHER,other
C-0719,FLANGE AS.,OTHER,other
C-0720,BOSS,CP-027,nut
C-0721,TUBE,OTHER,other
C-0722,PLATE,CP-003,straight
C-0723,BOSS,CP-018,boss
C-0724,TUBE-BULK,OTHER,other
C-0725,BAR,OTHER,other
C-0726,TUBE,OTHER,other
C-0727,FLANGE,OTHER,other
C-0728,ELBOW,OTHER,other
C-0729,ELBOW,OTHER,other
C-0730,TUBE,OTHER,other
C-0731,BLOCK,OTHER,other
C-0732,FLANGE,CP-004,straight
C-0733,ELBOW-HYDRAULIC,OTHER,other
C-0734,FLANGE,CP-003,straight
C-0735,CAP,OTHER,other
C-0736,PLATE,OTHER,other
C-0737,FLANGE,CP-003,straight
C-0738,BRACKET,OTHER,other
C-0739,FLANGE,CP-004,straight
C-0740,CONNECTOR,CP-014,threaded
C-0741,HEAD-FLANGED,CP-006,straight
C-0742,ORIFICE,OTHER,other
C-0743,ORIFICE,OTHER,other
C-0744,ORIFICE,OTHER,other
C-0745,ORIFICE,OTHER,other
C-0746,BRACKET,OTHER,other
C-0747,HEAD-FLANGE,CP-006,straight
C-0748,HEAD-FLANGE,CP-006,straight
C-0749,NUT-ORFS,OTHER,other
C-0750,FLANGE,CP-004,straight
C-0751,FLANGE,OTHER,other
C-0752,FLANGE,OTHER,other
C-0753,TUBE,OTHER,other
C-0754,BOSS,OTHER,other
C-0755,BOSS,CP-018,boss
C-0756,TUBE,OTHER,other
C-0757,ELBOW,OTHER,other
C-0758,TUBE-BAFFLE,OTHER,other
C-0759,ADAPTER,OTHER,other
C-0760,SLEEVE-ORFS,OTHER,other
C-0761,FLANGE,CP-003,straight
C-0762,FLANGE,OTHER,other
C-0763,BLOCK,OTHER,other
C-0764,COVER,OTHER,other
C-0765,ADAPTER,OTHER,other
C-0766,TUBE,OTHER,other
C-0767,CONNECTOR,OTHER,other
C-0768,TEE,CP-016,threaded
C-0769,ELBOW-90°,CP-015,threaded
C-0770,BLOCK,CP-020,boss
C-0771,FLANGE,OTHER,other
C-0772,FLANGE,OTHER,other
C-0773,BLOCK,OTHER,other
C-0774,ADAPTER,OTHER,other
C-0775,CONNECTOR,CP-014,threaded
C-0776,PLATE,OTHER,other
C-0777,FLANGE,OTHER,other
C-0778,FLANGE,CP-004,straight
C-0779,FLANGE,OTHER,other
C-0780,BLOCK,CP-020,boss
C-0781,FLANGE,OTHER,other
C-0782,FLANGE,CP-001,straight
C-0783,FLANGE,OTHER,other
C-0784,ADAPTER,OTHER,other
C-0785,PLATE,OTHER,other
C-0786,TUBE,OTHER,other
C-0787,FLANGE,CP-004,straight
C-0788,TUBE AS,OTHER,other
C-0789,ELBOW,CP-010,elbow
C-0790,FLANGE,OTHER,other
C-0791,CONNECTOR-WELD,CP-018,boss
C-0792,FLANGE,CP-003,straight
C-0793,FLANGE,CP-019,boss
C-0794,ELBOW-HYDRAULIC,OTHER,other
C-0795,FLANGE,OTHER,other
C-0796,BLOCK,CP-020,boss
C-0797,FLANGE,CP-021,float
C-0798,TUBE,OTHER,other
C-0799,FLANGE,CP-003,straight
C-0800,ADAPTER-OIL (GA,OTHER,other
C-0801,ELBOW-AIR (CRS),OTHER,other
C-0802,ELBOW,CP-008,elbow
C-0803,ADAPTER,OTHER,other
C-0804,FLANGE,CP-019,boss
C-0805,TEE-BULKHEAD,CP-016,threaded
C-0806,TEE,CP-016,threaded
C-0807,TEE,CP-016,threaded
C-0808,FLANGE-ONE PIEC,CP-002,straight
C-0809,CLEAT,OTHER,other
C-0810,BLOCK,OTHER,other
C-0811,BRACKET AS.,OTHER,other
C-0812,PLATE,OTHER,other
C-0813,WASHER,OTHER,other
C-0814,CLAMP-INJ LINE,OTHER,other
C-0815,CLAMP-INJ LINE,OTHER,other
C-0816,BOSS,CP-018,boss
C-0817,BOSS,CP-018,boss
C-0818,SPACER,OTHER,other
C-0819,FLANGE,CP-004,straight
C-0820,ELBOW,CP-008,elbow
C-0821,ELBOW,CP-008,elbow
C-0822,ELBOW,CP-008,elbow
C-0823,NUT-INV FLARED,CP-028,adaptor
C-0824,CAP-A/C,OTHER,other
C-0825,ADAPTER,OTHER,other
C-0826,ELBOW-FLARED,CP-015,threaded
C-0827,BOSS,CP-027,nut
C-0828,HASP-OIL FILLER,OTHER,other
C-0829,HEAD-FLANGED,CP-007,straight
C-0830,SLEEVE-FITTING,CP-024,sleeve
C-0831,NUT,CP-026,nut
C-0832,CONNECTOR-FLARED,CP-014,threaded
C-0833,CONNECTOR-FLARE,CP-014,threaded
C-0834,FLANGE,OTHER,other
C-0835,TUBE,OTHER,other
C-0836,FLANGE,CP-004,straight
C-0837,BOSS,CP-018,boss
C-0838,PLATE BLANK,OTHER,other
C-0839,ELBOW,CP-008,elbow
C-0840,FLANGE,CP-003,straight
C-0841,TUBE AS,OTHER,other
C-0842,TUBE AS,OTHER,other
C-0843,ORIFICE,OTHER,other
C-0844,PLATE,OTHER,other
C-0845,TUBE,OTHER,other
C-0846,FLANGE,CP-004,straight
C-0847,TUBE AS,OTHER,other
C-0848,FLANGE,OTHER,other
C-0849,CAP AS-O FILLER,OTHER,other
C-0850,FLANGE,CP-004,straight
C-0851,ELBOW,OTHER,other
C-0852,FLANGE,OTHER,other
C-0853,GUSSET,OTHER,other
C-0854,BOSS,CP-018,boss
C-0855,SLEEVE-CRIMP,OTHER,other
C-0856,PLATE,OTHER,other
C-0857,ROD,OTHER,other
C-0858,TUBE,OTHER,other
C-0859,FLANGE,OTHER,other
C-0860,NIPPLE AS.-90,OTHER,other
C-0861,NOZZLE,OTHER,other
C-0862,ORIFICE,OTHER,other
C-0863,FLANGE,OTHER,other
C-0864,NIPPLE AS.-45,OTHER,other
C-0865,NIPPLE AS.-90,OTHER,other
C-0866,NIPPLE AS.-90,OTHER,other
C-0867,NIPPLE AS.-45,OTHER,other
C-0868,NIPPLE AS.-45,OTHER,other
C-0869,FLANGE,CP-019,boss
C-0870,TUBE,OTHER,other
C-0871,ADAPTER,OTHER,other
C-0872,NIPPLE-BRAZE,CP-023,hfl
C-0873,NIPPLE-BRAZE,CP-023,hfl
C-0874,NIPPLE-BRAZE,CP-023,hfl
C-0875,FLANGE,CP-004,straight
C-0876,FLANGE,OTHER,other
C-0877,NUT-SWIVEL,OTHER,other
C-0878,NIPPLE AS.-77,OTHER,other
C-0879,BRACKET,OTHER,other
C-0880,FLANGE,CP-002,straight
C-0881,FLANGE,CP-002,straight
C-0882,ELBOW-SWIVEL,CP-015,threaded
C-0883,PLATE AS.,OTHER,other
C-0884,SOCKET,OTHER,other
C-0885,TUBE AS,OTHER,other
C-0886,TUBE AS,OTHER,other
C-0887,TUBE AS,OTHER,other
C-0888,TUBE AS,OTHER,other
C-0889,SOCKET,OTHER,other
C-0890,BOSS,OTHER,other
C-0891,FLANGE,CP-021,float
C-0892,CLEAT,OTHER,other
C-0893,BOSS,CP-018,boss
C-0894,FLANGE,CP-004,straight
C-0895,ELBOW-45° ORFS,CP-015,threaded
C-0896,COUPLING-PIPE,OTHER,other
C-0897,COUPLING,OTHER,other
C-0898,PLATE,OTHER,other
C-0899,BLOCK,CP-020,boss
C-0900,CONNECTOR-BRAZE,CP-014,threaded
C-0901,NUT-37° FLARED,OTHER,other
C-0902,FLANGE,OTHER,other
C-0903,BRACKET,OTHER,other
C-0904,FLANGE,OTHER,other
C-0905,ELBOW,CP-008,elbow
C-0906,ADAPTER,OTHER,other
C-0907,FITTING,OTHER,other
C-0908,PLATE,OTHER,other
C-0909,PLATE,OTHER,other
C-0910,ELBOW,CP-009,elbow
C-0911,CONNECTOR,CP-014,threaded
C-0912,ELBOW-90 DEG,CP-015,threaded
C-0913,BLOCK CONNECTIO,OTHER,other
C-0914,BLOCK CONNECTIO,OTHER,other
C-0915,PIN,OTHER,other
C-0916,MANIFOLD,OTHER,other
C-0917,FLANGE-HEAD,CP-006,straight
C-0918,PLATE AS.,OTHER,other
C-0919,REQUIREMENTS,OTHER,other
C-0920,BOSS,CP-018,boss
C-0921,BOSS,OTHER,other
C-0922,CAP-ORIFICE,OTHER,other
C-0923,HEAD-ADAPTER,OTHER,other
C-0924,HEAD-ADAPTER,OTHER,other
C-0925,STUD,OTHER,other
C-0926,FLANGE,OTHER,other
C-0927,FLANGE-WELD,CP-001,straight
C-0928,BRACKET,OTHER,other
C-0929,PLATE,OTHER,other
C-0930,BOSS,CP-018,boss
C-0931,ELBOW,CP-008,elbow
C-0932,SLEEVE,OTHER,other
C-0933,PLATE,OTHER,other
C-0934,PLATE,OTHER,other
C-0935,NUT-A/C,OTHER,other
C-0936,HEAD-ADAPTER,OTHER,other
C-0937,BLOCK CONNECTION,OTHER,other
C-0938,ADAPTER,CP-014,threaded
C-0939,FLANGE,OTHER,other
C-0940,FLANGE,CP-003,straight
C-0941,FLANGE,CP-001,straight
C-0942,FLANGE,CP-003,straight
C-0943,FLANGE,CP-008,elbow
C-0944,FLANGE,CP-001,straight
C-0945,ADAPTER,CP-014,threaded
C-0946,FLANGE,CP-001,straight
C-0947,ADAPTER,CP-014,threaded
C-0948,ADAPTER,CP-014,threaded
C-0949,ADAPTER,CP-014,threaded
C-0950,ADAPTER,OTHER,other
C-0951,ADAPTER,OTHER,other
C-0952,ADAPTER,OTHER,other
C-0953,ADAPTER,OTHER,other
C-0954,FLANGE,OTHER,other
C-0955,ELBOW-HYDRAULIC,OTHER,other
C-0956,FLANGE,CP-008,elbow
C-0957,ADAPTER,OTHER,other
C-0958,ADAPTER,OTHER,other
C-0959,FLANGE,CP-001,straight
C-0960,FLANGE,CP-003,straight
C-0961,FLANGE,CP-003,straight
C-0962,FLANGE,OTHER,other
C-0963,FLANGE,CP-008,elbow
C-0964,ADAPTER,OTHER,other
C-0965,BOSS,CP-018,boss
C-0966,FLANGE,CP-004,straight
C-0967,BRACKET,OTHER,other
C-0968,TUBE,OTHER,other
C-0969,TUBE,OTHER,other
C-0970,FLANGE-4 BOLT,CP-001,straight
C-0971,TEE-ORFS,CP-016,threaded
C-0972,FLANGE-TIG,CP-009,elbow
C-0973,FLANGE-HEAD,CP-006,straight
C-0974,ELBOW-90,CP-015,threaded
C-0975,FLANGE,OTHER,other
C-0976,FLANGE-SPECIAL,CP-001,straight
C-0977,FLANGE,CP-004,straight
C-0978,FLANGE-ONE PIECE,CP-003,straight
C-0979,ADAPTER,OTHER,other
C-0980,TUBE,OTHER,other
C-0981,PLATE,OTHER,other
C-0982,ELBOW,OTHER,other
C-0983,TUBE AS,OTHER,other
C-0984,TUBE AS,OTHER,other
C-0985,TUBE-WATER,OTHER,other
C-0986,PLATE,OTHER,other
C-0987,ELBOW,OTHER,other
C-0988,FLANGE,OTHER,other
C-0989,BLOCK,OTHER,other
C-0990,BLOCK AS,OTHER,other
C-0991,PLATE-OUTER,OTHER,other
C-0992,BLOCK,OTHER,other
C-0993,FLANGE,OTHER,other
C-0994,FLANGE-ONE-PIEC,CP-003,straight
C-0995,BLOCK,OTHER,other
C-0996,FLANGE,OTHER,other
C-0997,FILLER AS,OTHER,other
C-0998,BLOCK,OTHER,other
C-0999,ELBOW-HYDRAULIC,CP-008,elbow
C-1000,ELBOW-90 DEG,OTHER,other
C-1001,TEE,OTHER,other
C-1002,PLATE,OTHER,other
C-1003,TUBE AS,OTHER,other
C-1004,ELBOW,CP-010,elbow
C-1005,FLANGE-ONE PIEC,CP-002,straight
C-1006,ELBOW-HYDRAULIC,CP-011,elbow
C-1007,TUBE,OTHER,other
C-1008,ELBOW-CAST,OTHER,other
C-1009,FLANGE,OTHER,other
C-1010,FLANGE,OTHER,other
C-1011,TUBE,OTHER,other
C-1012,POST,OTHER,other
C-1013,FITTING-FLANGE,OTHER,other
C-1014,FLANGE-ONE PIEC,CP-004,straight
C-1015,TUBE,OTHER,other
C-1016,TUBE,OTHER,other
C-1017,CONNECTOR-WELD,OTHER,other
C-1018,CONNECTOR-WELD,OTHER,other
C-1019,VALVE BODY,OTHER,other
C-1020,FLANGE,OTHER,other
C-1021,COUPLING AS,OTHER,other
C-1022,SPACER,OTHER,other
C-1023,BRACKET,OTHER,other
C-1024,ELBOW,CP-009,elbow
C-1025,TUBE,OTHER,other
C-1026,BRACKET,OTHER,other
C-1027,FILLER,OTHER,other
C-1028,TUBE,OTHER,other
C-1029,BOSS,CP-018,boss
C-1030,FLANGE,OTHER,other
C-1031,GUSSET,OTHER,other
C-1032,RING,OTHER,other
C-1033,RING,OTHER,other
C-1034,ELBOW-HYDRAULIC,OTHER,other
C-1035,SLEEVE-REDUCER,CP-024,sleeve
C-1036,FLANGE,OTHER,other
C-1037,FITTING,OTHER,other
C-1038,PLATE,OTHER,other
C-1039,STEM-BRAZED,CP-023,hfl
C-1040,SHELL,OTHER,other
C-1041,STEM-BRAZED,CP-023,hfl
C-1042,SHELL,OTHER,other
C-1043,STEM-BRAZED,CP-023,hfl
C-1044,SHELL,OTHER,other
C-1045,CONNECTOR-WELD,CP-018,boss
C-1046,TEE-HYDRAULIC,OTHER,other
C-1047,CONNECTOR-WELD,OTHER,other
C-1048,CONNECTOR-WELD,OTHER,other
C-1049,BRACKET,OTHER,other
C-1050,BLOCK,OTHER,other
C-1051,TUBE,OTHER,other
C-1052,TUBE,OTHER,other
C-1053,TUBE,OTHER,other
C-1054,TUBE,OTHER,other
C-1055,PLATE,OTHER,other
C-1056,TUBE AS,OTHER,other
C-1057,PIPE,OTHER,other
C-1058,SLEEVE-ORFS,OTHER,other
C-1059,NUT-ORFS,CP-025,nut
C-1060,PLATE,OTHER,other
C-1061,ADAPTER-PIPE,OTHER,other
C-1062,FLANGE,OTHER,other
C-1063,PLATE,OTHER,other
C-1064,TUBE,OTHER,other
C-1065,BOSS,CP-019,boss
C-1066,FLANGE,CP-004,straight
C-1067,CONNECTOR,CP-014,threaded
C-1068,PLATE,OTHER,other
C-1069,BLOCK,CP-008,elbow
C-1070,TUBE,OTHER,other
C-1071,FLANGE,CP-004,straight
C-1072,ELBOW-90 DEG,CP-015,threaded
C-1073,PLATE,OTHER,other
C-1074,CONNECTOR-BRAZED,CP-024,sleeve
C-1075,PLATE,OTHER,other
C-1076,ELBOW-HYDRAULIC,OTHER,other
C-1077,PLATE,OTHER,other
C-1078,ADAPTER-STR,CP-014,threaded
C-1079,PLATE AS,OTHER,other
C-1080,ADAPTER-PIPE,OTHER,other
C-1081,BOSS,OTHER,other
C-1082,BELLOW AS,OTHER,other
C-1083,BELLOW AS,OTHER,other
C-1084,TUBE,OTHER,other
C-1085,FITTING-BRAZE,OTHER,other
C-1086,ELBOW,OTHER,other
C-1087,TUBE,OTHER,other
C-1088,TUBE,OTHER,other
C-1089,BOSS,CP-018,boss
C-1090,CONNECTOR-WELD,OTHER,other
C-1091,CONNECTOR-WELD,OTHER,other
C-1092,CONNECTOR-WELD,OTHER,other
C-1093,BRACKET,OTHER,other
C-1094,FLANGE,OTHER,other
C-1095,ELBOW,OTHER,other
C-1096,FLANGE,CP-022,float
C-1097,FLANGE,OTHER,other
C-1098,BOSS,OTHER,other
C-1099,ADAPTER,OTHER,other
C-1100,BOSS-SADDLE,OTHER,other
C-1101,BOSS-SADDLE,OTHER,other
C-1102,FLANGE,CP-022,float
C-1103,COVER,OTHER,other
C-1104,SCREEN,OTHER,other
C-1105,SHROUD,OTHER,other
C-1106,FLANGE,OTHER,other
C-1107,FLANGE,OTHER,other
C-1108,TUBE,OTHER,other
C-1109,FLANGE,OTHER,other
C-1110,BOSS-SADDLE,OTHER,other
C-1111,BOSS,OTHER,other
C-1112,BOSS,OTHER,other
C-1113,HEAD-FLANGED,CP-006,straight
C-1114,HOSE,OTHER,other
C-1115,FLANGE,CP-003,straight
C-1116,BOSS,OTHER,other
C-1117,BOSS,CP-018,boss
C-1118,PLATE,OTHER,other
C-1119,FLANGE,OTHER,other
C-1120,FLANGE,OTHER,other
C-1121,FLANGE,OTHER,other
C-1122,TUBE,OTHER,other
C-1123,BOSS-SADDLE,CP-018,boss
C-1124,BOSS-SADDLE,CP-018,boss
C-1125,TUBE,OTHER,other
C-1126,FLANGE,OTHER,other
C-1127,BOSS-SADDLE,CP-018,boss
C-1128,TUBE AS-COUPLING,OTHER,other
C-1129,PLATE,OTHER,other
C-1130,BOSS,OTHER,other
C-1131,TUBE,OTHER,other
C-1132,PLATE,OTHER,other
C-1133,ADAPTER,OTHER,other
C-1134,TUBE,OTHER,other
C-1135,FLANGE,CP-021,float
C-1136,CONNECTOR-SEAL,OTHER,other
C-1137,ADAPTER AS,OTHER,other
C-1138,ADAPTER,OTHER,other
C-1139,BOSS,OTHER,other
C-1140,BOSS,OTHER,other
C-1141,ADAPTER-PIPE,OTHER,other
C-1142,FLANGE,OTHER,other
C-1143,BOSS,OTHER,other
C-1144,BOSS,OTHER,other
C-1145,HEAD-FLANGED,CP-006,straight
C-1146,CAP AS,OTHER,other
C-1147,PLATE,OTHER,other
C-1148,ADAPTER,OTHER,other
C-1149,FLANGE-ONE PIECE,CP-021,float
C-1150,PLATE,OTHER,other
C-1151,PLATE,OTHER,other
C-1152,ADAPTER,OTHER,other
C-1153,PLATE,OTHER,other
C-1154,FLANGE,OTHER,other
C-1155,FLANGE,OTHER,other
C-1156,FLANGE,OTHER,other
C-1157,FLANGE,OTHER,other
C-1158,PLATE,OTHER,other
C-1159,BOSS,OTHER,other
C-1160,FLANGE,OTHER,other
C-1161,BOSS,OTHER,other
C-1162,BRACKET,OTHER,other
C-1163,BRACKET,OTHER,other
C-1164,TUBE,OTHER,other
C-1165,TUBE,OTHER,other
C-1166,CONNECTOR,OTHER,other
C-1167,BOSS,OTHER,other
C-1168,FLANGE,OTHER,other
C-1169,BRACKET,OTHER,other
C-1170,BOSS-SADDLE,OTHER,other
C-1171,BOSS-SADDLE,CP-018,boss
C-1172,FLANGE,OTHER,other
C-1173,BRACKET,OTHER,other
C-1174,FLANGE,OTHER,other
C-1175,FLANGE,OTHER,other
C-1176,FLANGE,OTHER,other
C-1177,FLANGE,OTHER,other
C-1178,FLANGE,OTHER,other
C-1179,FLANGE,OTHER,other
C-1180,FLANGE,OTHER,other
C-1181,CONNECTOR,OTHER,other
C-1182,TUBE AS,OTHER,other
C-1183,FLANGE,OTHER,other
C-1184,FLANGE,OTHER,other
C-1185,FLANGE,OTHER,other
C-1186,BOSS,OTHER,other
C-1187,FLANGE,OTHER,other
C-1188,FLANGE,OTHER,other
C-1189,CONNECTOR,OTHER,other
C-1190,ADAPTER,OTHER,other
C-1191,FLANGE,OTHER,other
C-1192,TUBE (BULK),OTHER,other
C-1193,TUBE,OTHER,other
C-1194,COUPLING-PIPE,CP-028,adaptor
C-1195,COUPLING-PIPE,CP-028,adaptor
C-1196,COUPLING-PIPE,CP-028,adaptor
C-1197,COUPLING-PIPE,CP-028,adaptor
C-1198,COUPLING-PIPE,CP-028,adaptor
C-1199,FITTING-TUBE,CP-026,nut
C-1200,NUT-45 (DEG),CP-026,nut
C-1201,NUT-45 (DEG),OTHER,other
C-1202,NUT-45 (DEG),CP-026,nut
C-1203,FLANGE,CP-003,straight
C-1204,FITTING-FILLER,OTHER,other
C-1205,NUT-FITTING,OTHER,other
C-1206,SLEEVE-FITTING,OTHER,other
C-1207,HEAD-FLANGED,CP-007,straight
C-1208,ELBOW,CP-008,elbow
C-1209,ELBOW-90 DEG,CP-015,threaded
C-1210,FLANGE-ONE PIEC,CP-002,straight
C-1211,CONNECTOR,OTHER,other
C-1212,FLANGE-ONE PIEC,CP-002,straight
C-1213,CAP-A/C,OTHER,other
C-1214,CAP-A/C,OTHER,other
C-1215,VALVE AS.-A/C,OTHER,other
C-1216,VALVE AS.-A/C,OTHER,other
C-1217,ADAPTER-A/C,OTHER,other
C-1218,CONNECTOR,CP-014,threaded
C-1219,ELBOW,CP-015,threaded
C-1220,TEE,OTHER,other
C-1221,ELBOW-90 DEGREE,CP-015,threaded
C-1222,WASHER,OTHER,other
C-1223,HOOK-S,OTHER,other
C-1224,FLANGE-ONE PIEC,CP-003,straight
C-1225,BOSS,CP-018,boss
C-1226,SPACER,OTHER,other
C-1227,SEAL-O-RING,OTHER,other
C-1228,SEAL-O-RING,OTHER,other
C-1229,NUT-FLARED,CP-028,adaptor
C-1230,NUT-FLARED,CP-028,adaptor
C-1231,BOSS,CP-018,boss
C-1232,LUG,OTHER,other
C-1233,BOSS,CP-018,boss
C-1234,FLANGE,CP-004,straight
C-1235,FLANGE-ONE PIEC,CP-002,straight
C-1236,FLANGE-ONE PIECE,CP-002,straight
C-1237,TEE-FLARED,OTHER,other
C-1238,ELBOW-FLARED,CP-015,threaded
C-1239,ELBOW,CP-010,elbow
C-1240,HEAD-FLANGED,OTHER,other
C-1241,BOSS,OTHER,other
C-1242,HEAD-FLANGED,CP-006,straight
C-1243,NUT,CP-026,nut
C-1244,SLEEVE,CP-024,sleeve
C-1245,FLANGE-WELD,CP-003,straight
C-1246,PLUG-ORIFICE,OTHER,other
C-1247,ELBOW,CP-010,elbow
C-1248,BLOCK,OTHER,other
C-1249,BRACKET,OTHER,other
C-1250,PLATE,OTHER,other
C-1251,FLANGE-CAPTIVE,OTHER,other
C-1252,TUBE AS,OTHER,other
C-1253,BAR,OTHER,other
C-1254,COLLAR,OTHER,other
C-1255,ELBOW,CP-008,elbow
C-1256,FITTING,CP-018,boss
C-1257,BOSS,CP-018,boss
C-1258,PLATE,OTHER,other
C-1259,BOSS,CP-018,boss
C-1260,BOSS,OTHER,other
C-1261,BOSS,OTHER,other
C-1262,FLANGE,OTHER,other
C-1263,TUBE,OTHER,other
C-1264,PLATE,OTHER,other
C-1265,FLANGE-WELD,OTHER,other
C-1266,FLANGE,OTHER,other
C-1267,BOSS,OTHER,other
C-1268,ADAPTER-STR,OTHER,other
C-1269,FLANGE,OTHER,other
C-1270,BOSS,OTHER,other
C-1271,BOSS,OTHER,other
C-1272,TUBE,OTHER,other
C-1273,BOSS,OTHER,other
C-1274,BOSS,OTHER,other
C-1275,FLANGE,OTHER,other
C-1276,FLANGE,OTHER,other
C-1277,FLANGE,OTHER,other
C-1278,FLANGE,OTHER,other
C-1279,BOSS,OTHER,other
C-1280,BOSS,OTHER,other
C-1281,FLANGE,OTHER,other
C-1282,BRACKET,OTHER,other
C-1283,FLANGE,OTHER,other
C-1284,FLANGE,OTHER,other
C-1285,FLANGE,OTHER,other
C-1286,HEAD-FLANGED,OTHER,other
C-1287,FLANGE,OTHER,other
C-1288,FLANGE,OTHER,other
C-1289,FLANGE,OTHER,other
C-1290,TUBE,OTHER,other
C-1291,TUBE,OTHER,other
C-1292,TUBE,OTHER,other
C-1293,RING,OTHER,other
C-1294,BOSS,OTHER,other
C-1295,TUBE,OTHER,other
C-1296,BRACKET,OTHER,other
C-1297,FLANGE,OTHER,other
C-1298,TEE-ORFS BRAZE,OTHER,other
C-1299,TUBE AS,OTHER,other
C-1300,FLANGE,OTHER,other
C-1301,FLANGE,OTHER,other
C-1302,FLANGE,OTHER,other
C-1303,FLANGE,OTHER,other
C-1304,FLANGE,OTHER,other
C-1305,BOSS,OTHER,other
C-1306,FLANGE,OTHER,other
C-1307,BOSS-SADDLE,OTHER,other
C-1308,BOSS,CP-020,boss
C-1309,REDUCER,OTHER,other
C-1310,WASHER,OTHER,other
C-1311,RIVET,OTHER,other
C-1312,NUT-FLARED,CP-028,adaptor
C-1313,NUT-INV FLARED,CP-028,adaptor
C-1314,FLANGE,CP-004,straight
C-1315,FLANGE,CP-003,straight
C-1316,BOSS,CP-027,nut
C-1317,ELBOW,CP-008,elbow
C-1318,BOSS,CP-027,nut
C-1319,BRACKET,OTHER,other
C-1320,BOSS,CP-027,nut
C-1321,PLATE,OTHER,other
C-1322,FLANGE,OTHER,other
C-1323,PLUG-CORE,OTHER,other
C-1324,CLIP,OTHER,other
C-1325,PIN-SPRING,OTHER,other
C-1326,FLANGE,CP-001,straight
C-1327,ELBOW,CP-009,elbow
C-1328,FLANGE-WELD,CP-001,straight
C-1329,FLANGE,CP-001,straight
C-1330,ANGLE,OTHER,other
C-1331,FLANGE-ONE PIEC,CP-009,elbow
C-1332,SLEEVE-ORFS,CP-024,sleeve
C-1333,ELBOW,CP-009,elbow
C-1334,ELBOW,CP-009,elbow
C-1335,ELBOW,CP-009,elbow
C-1336,ELBOW,CP-009,elbow
C-1337,ELBOW,CP-009,elbow
C-1338,CONNECTOR-WELD,CP-014,threaded
C-1339,ELBOW,CP-008,elbow
C-1340,BOSS,CP-018,boss
C-1341,RIVET-POP,OTHER,other
C-1342,HEAD-FLANGED,CP-006,straight
C-1343,HEAD-FLANGED,CP-006,straight
C-1344,HEAD-FLANGED,CP-006,straight
C-1345,FLANGE-ONE PIEC,CP-010,elbow
C-1346,HEAD-FLANGED,CP-006,straight
C-1347,HEAD-FLANGED,CP-006,straight
C-1348,ELBOW,CP-008,elbow
C-1349,ELBOW,CP-008,elbow
C-1350,ELBOW,CP-008,elbow
C-1351,FLANGE,CP-004,straight
C-1352,FLANGE,CP-004,straight
C-1353,ELBOW,OTHER,other
C-1354,FLANGE,CP-004,straight
C-1355,ADAPTER,OTHER,other
C-1356,CLIP,OTHER,other
C-1357,FLANGE,CP-003,straight
C-1358,ADAPTER,OTHER,other
C-1359,LUG,OTHER,other
C-1360,TUBE AS,OTHER,other
C-1361,ADAPTER,OTHER,other
C-1362,ELBOW,CP-010,elbow
C-1363,ELBOW,CP-010,elbow
C-1364,ELBOW-WATER,OTHER,other
C-1365,ADAPTER-DRAIN,CP-004,straight
C-1366,ELBOW,OTHER,other
C-1367,ADAPTER,OTHER,other
C-1368,FLANGE,CP-004,straight
C-1369,COLLAR,OTHER,other
