component_id,straight_bolt_pattern_long,straight_bolt_pattern_wide,straight_head_diameter,straight_overall_length,straight_thickness,straight_mj_class_code,straight_groove,straight_unique_feature,straight_orientation,straight_weight
C-1900,66.68,31.8,60.32,36.5,14.2,MJ-003,Y,N,N,0.469
C-1901,52.37,26.19,50.8,28.0,36.0,MJ-003,N,N,Y,0.7909999999999999
C-1904,77.77,42.9,50.8,28.0,36.5,MJ-003,N,N,Y,1.6740000000000002
C-1943,76.2,31.8,50.8,28.0,15.0,NONE,Y,N,Y,0.28800000000000003
C-1946,88.9,50.8,50.8,28.0,16.0,NONE,Y,N,Y,0.527
C-1947,106.4,61.93,50.8,28.0,15.9,NONE,Y,N,Y,1.271
C-1953,63.5,31.8,50.8,28.0,6.1,NONE,N,N,Y,0.1
C-1956,38.1,31.8,50.8,28.0,9.14,NONE,N,N,Y,0.066
C-1958,77.8,42.9,50.8,28.0,12.0,NONE,Y,N,Y,0.52
C-1983,65.0,31.8,50.8,28.0,12.5,NONE,Y,N,Y,1.2
C-1986,106.4,61.9,50.8,28.0,18.3,NONE,Y,N,Y,0.741
C-1996,73.0,31.8,50.8,28.0,20.0,NONE,Y,N,Y,0.275
C-1997,58.7,30.2,50.8,28.0,36.5,MJ-003,Y,N,Y,1.094
C-1999,66.68,31.8,38.1,25.5,6.73,MJ-001,Y,N,N,0.079
C-2000,106.4,61.9,50.8,28.0,28.0,MJ-001,Y,N,Y,2.135
C-2009,52.37,26.19,50.8,28.0,36.5,MJ-003,N,N,Y,0.7090000000000001
C-2015,88.9,50.8,50.8,28.0,36.5,MJ-003,N,N,Y,1.734
C-2016,77.8,42.9,50.8,28.0,36.5,MJ-003,N,N,Y,1.876
C-2017,58.7,30.2,50.8,28.0,36.5,MJ-003,Y,N,Y,0.84
C-2018,69.9,35.7,50.8,28.0,36.5,MJ-003,N,N,Y,1.327
C-2019,69.9,35.7,50.8,28.0,36.5,MJ-003,N,N,Y,1.44
C-2020,77.8,42.88,50.8,28.0,36.5,MJ-003,Y,N,Y,1.574
C-2021,77.77,42.88,50.8,28.0,36.5,MJ-003,N,N,Y,1.6780000000000002
C-2022,106.38,61.93,50.8,28.0,36.5,MJ-003,N,N,Y,2.748
C-2023,88.9,50.8,50.8,28.0,36.5,MJ-003,Y,N,Y,1.621
C-2034,66.68,31.8,44.45,28.0,8.0,MJ-001,Y,N,N,0.188
C-2043,50.8,31.8,50.8,28.0,8.0,NONE,N,N,Y,0.2
C-2044,66.68,31.8,111.76,28.0,3.76,NONE,Y,N,N,0.74
